ingredient,reference,proxy_type (1:nutri 2:impact)
en:acid,en:e330,
en:dextrose,en:glucose,
en:glucose-syrup,en:glucose,
en:cocoa-paste,en:cocoa,
en:natural-vanilla-flavouring,en:natural-vanilla-extract,
en:modified-starch,en:starch,
en:e322,en:soya-lecithin,
en:yeast-powder,en:yeast,
en:butterfat,en:fat,1
en:butterfat,en:butter,2
en:e410,fr:farine-de-graines-de-caroube-et-farine-de-graines-de-guar,
en:e270,en:acid,
en:folic-acid,en:vitamins,
en:herbs-and-spices,en:spice-extract,
en:palm,en:palm-oil,
en:e1404,en:modified-starch,
en:sodium-citrate,en:e331,
en:rice-starch,en:starch,1
en:rice-starch,en:rice,2
en:e150d,en:e150a,
en:sucrose,en:sugar,
en:vanilla-flavouring,en:natural-vanilla-extract,
en:wheat-fiber,en:wheat-bran,
en:milkfat,en:fat,1
en:milkfat,en:butter,2
fr:matiere-grasse-de-lait-anhydre,en:milkfat,
en:wheat-dextrose,en:dextrose,
en:thiamin-mononitrate,en:thiamin,
en:caramelised-sugar-syrup,en:sugar,
en:mollusc,en:shellfish,
en:corn-dextrose,en:dextrose,1
en:corn-dextrose,en:corn,2
en:broad-bean-flour,fr:farine-de-pois-chiche,
en:vegetable-fiber,en:wheat-fiber,
en:fiber,en:wheat-fiber,
en:barn-eggs,en:egg,
en:microbial-coagulating-enzyme,en:enzyme,
en:whey-product,en:whey,
fr:levure-inactivee,en:yeast,
en:wheat-glucose-syrup,en:glucose-syrup,
en:wheat-protein,fr:proteines-de-ble,
en:rapeseed,en:colza-oil,
en:green-tea,en:plant,1
en:roselle-flower,en:plant,1
en:lemongrass,en:herb,
en:unrefined-sea-salt,en:salt,
en:pre-fried-onions,en:fried-onion,
en:dehydrated-glucose-syrup,en:glucose-syrup,
fr:poivre-vert,en:black-pepper,
en:wheat-flakes,en:oat-flakes,
en:black-tea,en:plant,1
en:aniseed,en:cumin-seeds,
en:coconut-extract,en:coconut,
en:e965ii,en:e965,
en:coffee-extract,en:coffee,
en:coagulating-enzyme,en:enzyme,
en:chilli-powder,en:chili-pepper,
en:lovage,en:parsley,
en:e1442,en:modified-starch,
en:sweet-peppers,en:bell-pepper,
de:weizenvollkornflocken,en:wheat-flakes,
en:grape-must,en:grape-juice,
de:gerstenflocken,en:oat-flakes,
en:grilled-courgette,en:courgette,
en:xanthan-gum-and-guar-gum,en:e415,
en:pear-puree,en:apple-puree,
en:lactase,en:enzyme,
en:guar-flour,fr:farine-de-graines-de-caroube-et-farine-de-graines-de-guar,
en:wholemeal-cereal,en:wholemeal-oat,
fr:legume-deshydrate,en:dehydrated-onion,
en:vanilla-pod,en:vanilla,
ru:глюкозно-фруктозный-сироп,en:glucose-syrup,
en:fruit-and-plant-concentrates,en:concentrated-grape-juice,
fr:yogourt-maigre,en:yogurt,
en:mackarel-fillet,en:atlantic-mackarel,
fr:gousses-de-vanille-epuisees-broyees,en:vanilla,
en:e1422,en:modified-starch,
en:corn-maltodextrin,en:maltodextrins,
en:concentrated-grape-must,en:concentrated-grape-juice,
en:port,en:liqueur-wine,
en:katsuwonus-pelamis,en:skipjack-tuna,
fr:boyau-naturel-de-mouton,fr:boyau-naturel-de-porc,
en:e150b,en:e150,
en:pea-fiber,en:wheat-bran,1
en:psyllium,en:wheat-bran,1
fr:fibre-d-agrume,en:wheat-bran,1
en:mustard-powder,en:mustard-seed,
fr:soja-depellicule,en:soya-bean,
en:microbial-culture,en:ferment,
en:mixed-spices,en:spice,
en:vanilla-powder,en:vanilla,
en:canola,en:rapeseed,
en:caramel-syrup,en:caramelised-sugar-syrup,
en:e472c,en:e472b,
en:peach-puree,en:peach,
en:chicory-fibre,en:wheat-bran,1
en:chicory-fibre,en:chicory,2
en:pulp,en:fruit,
en:chokeberry,en:fruit,
en:dried-fruits,en:dried-apple,
en:e1100,en:enzyme,
en:saccharomyces-cerevisiae,en:yeast,
fr:levain-de-ble,en:sourdough,
en:e1105,en:lysozyme-from-eggs,
fr:tomates-semi-sechees,en:dried-tomatoes,
fr:amidon-de-pois,en:starch,
fr:jaune-d-oeuf-frais,en:egg-yolk,
fr:puree-de-tomates-reconstituee,en:tomato-puree,
fr:filets-de-poulet,en:chicken-meat,
en:lupin-flour,en:lupin,
en:fructooligosaccharide,en:oligofructose,
en:cereals-containing-gluten,en:cereal,
de:würze,en:spice,
en:star-anise,en:spice,
en:bamboo-fibre,en:vegetable-fiber,
fr:fond-de-porc,en:broth,
en:vegetable-protein,en:protein,1
fr:proteines-de-pois-hydrolysees,en:protein,1
fr:proteines-de-pois-hydrolysees,en:pea,2
en:cocoa-bean,en:cocoa,
en:small-white-onions,en:onion,
en:potato-maltodextrin,en:maltodextrins,
en:bourbon-vanilla,en:vanilla,
fr:eclats-de-noisettes,en:hazelnut,
en:pink-peppercorn,en:spice,
en:yellow-carrot,en:carrot,
fr:melange-de-salades,en:salad,
fr:sirop-de-glucose-de-mais,en:glucose-syrup,
en:e331iii,en:e331,
en:potato-fibre,en:wheat-bran,1
en:potato-fibre,en:potato,2
en:arabica-coffee,en:coffee,
en:whey-permeate,en:whey,
en:verbena,en:herb,
en:e160aii,en:e160a,
en:bifidus-actiregularis,en:ferment,
en:e472a,en:e472b,
en:streptococcus-thermophilus,en:ferment,
fr:sirop-d-orge-malte,en:rice-syrup,
en:acacia-fibre,en:wheat-bran,1
en:galangal,en:ginger,
en:rehydrated-soy-protein,en:protein,1
en:cereal-crispies,en:cereal,
de:roggensauerteig,en:sourdough,
fr:gousse-de-vanille-epuisee,en:vanilla,
fr:mout-de-raisin-cuit,en:grape-juice,
en:rooibos,en:plant,1
en:juniper-berry,en:fruit,1
en:lactobacillus-bulgaricus,en:ferment,
fr:pulpe-de-fruits,en:fruit,
en:selected-ferments,en:ferment,
en:wholemeal-flour,en:wholemeal-barley-flour,
en:natural-spice-flavouring,en:spice,
fr:extrait-de-legumes,en:vegetable,
en:bifidus,en:ferment,
fr:flocons-de-seigle,en:rye,
en:e420ii,en:e420,
en:sodium-phosphate,en:e150a,
fr:graines-de-millet,en:millet,
fr:noisettes-entieres,en:hazelnut,
fr:os-et-viande-de-porc,en:pork,
en:turkey-fillet,en:turkey-meat,
en:natural-yeast,en:yeast,
en:ground-almonds,en:almond,
en:camomile,en:herb,
de:grüne-chili,en:chili-pepper,
en:green-flageolets,en:beans,
en:vanilla-beans-exhausted,en:vanilla,
en:pasteurized-creme-fraiche,en:cream,
fr:jus-d-agave-concentre,en:agave-syrup,
en:sardina-pilchardus,en:sardine,
en:e460i,en:e460,
en:lemon-balm,en:herb,
en:e336i,en:e336,
fr:maltodextrine-de-ble,en:maltodextrins,
en:oncorhynchus-mykiss,en:rainbow-trout,
en:linden,en:plant,
de:trockenhefe,en:yeast,
en:alaskan-pollock-fillet,en:alaska-pollock,
en:e433,en:vegetable-oil,
en:ground-hazelnuts,en:hazelnut,
en:selected-lactic-ferments,en:ferment,
fr:olives-vertes-denoyautees,en:green-olives,
fr:levain-de-seigle-devitalise,en:sourdough,
en:aspic,en:plant,
fr:tomates-pelees-concassees-au-jus,en:crushed-peeled-tomato,
en:gadus-morhua,en:atlantic-cod,
en:soy-flakes,en:soya,
da:fedtfattig-kakao,en:fat-reduced-cocoa-powder,
en:lithotamnium-calcareum,en:algae,
en:bourbon-vanilla-natural-flavouring,en:vanilla,
en:e1101,en:enzyme,
en:collagen,en:protein,
en:mirabelle-plum,en:prune,
fr:boyau-naturel,fr:boyau-naturel-de-porc,
fr:sorbitols-et-glycerol,en:e420,
en:maltose,en:sugar,
en:sheeps-casing,fr:boyau-naturel-de-porc,
en:aspergillus-oryzae,en:ferment,
en:hazelnut-praline,en:praline,
en:precooked-pasta,en:cooked-pasta,
en:clupea-harengus,en:atlantic-herring,
en:apple-fiber,en:wheat-bran,1
en:apple-fiber,en:apple,2
fr:champignon-noir-rehydrate,en:mushroom,
en:madeira,en:liqueur-wine,
